COMPLEX 105
//ObjectID DX DY Radius #ANIMATION pause amount_of_layers z0(ZBuffer_start) Dz(ZBuffer_Dz) 
//For new fields:
//ID 64 64 Radius #FIELDPATH Width Height GrowStage YScale
FG0   64 64 30 #DRUBAPL 1 0 2  256
FG0A  64 64 30 #DRUBAPL 1 0 4  256
FG0B  64 64 30 #DRUBAPL 1 0 6  256
FG0C  64 64 30 #DRUBAPL 1 0 8  256
FG0D  64 64 30 #DRUBAPL 1 0 10 256
FG1   64 64 30 #DRUBAPL 1 0 12 256
FG1A  64 64 30 #DRUBAPL 1 0 14  256
FG1B  64 64 30 #DRUBAPL 1 0 16  256
FG1C  64 64 30 #DRUBAPL 1 0 18  256
FG1D  64 64 30 #DRUBAPL 1 0 20  256
FG2   64 64 30 #DRUBAPL 1 0 22  256
FG2A  64 64 30 #DRUBAPL 1 0 24  256
FG2B  64 64 30 #DRUBAPL 1 0 26  256
FG2C  64 64 30 #DRUBAPL 1 0 28  256
FG2D  64 64 30 #DRUBAPL 1 0 30  256
FG3   64 64 30 #DRUBAPL 1 0 32  256
FG3A  64 64 30 #DRUBAPL 1 0 34  256
FG3B  64 64 30 #DRUBAPL 1 0 36  256
FG3C  64 64 30 #DRUBAPL 1 0 38  256
FG3D  64 64 30 #DRUBAPL 1 0 40  256
FG4   64 64 30 #DRUBAPL 1 0 42  256
FG4A  64 64 30 #DRUBAPL 1 0 44  256
FG4B  64 64 30 #DRUBAPL 1 0 46  256
FG4C  64 64 30 #DRUBAPL 1 0 48  256
FG4D  64 64 30 #DRUBAPL 1 0 50  256
FG5   64 64 30 #DRUBAPL 1 0 52  256
FG5A  64 64 30 #DRUBAPL 1 0 54  256
FG5B  64 64 30 #DRUBAPL 1 0 56  256
FG5C  64 64 30 #DRUBAPL 1 0 58  256
FG5D  64 64 30 #DRUBAPL 1 0 60  256
FG6   64 64 30 #DRUBAPL 1 0 62  256
FG6A  64 64 30 #DRUBAPL 1 0 64  256
FG6B  64 64 30 #DRUBAPL 1 0 66  256
FG6C  64 64 30 #DRUBAPL 1 0 68  256
FG6D  64 64 30 #DRUBAPL 1 0 70  256
FG7   64 64 30 #DRUBAPL 1 0 72  256
FG7A  64 64 30 #DRUBAPL 1 0 74  256
FG7B  64 64 30 #DRUBAPL 1 0 76  256
FG7C  64 64 30 #DRUBAPL 1 0 78  256
FG7D  64 64 30 #DRUBAPL 1 0 80  256
FG8   64 64 30 #DRUBAPL 1 0 82  256
FG8A  64 64 30 #DRUBAPL 1 0 84  256
FG8B  64 64 30 #DRUBAPL 1 0 86  256
FG8C  64 64 30 #DRUBAPL 1 0 88  256
FG8D  64 64 30 #DRUBAPL 1 0 90  256
FG9   64 64 30 #DRUBAPL 1 0 92  256
FG9A  64 64 30 #DRUBAPL 1 0 94  256
FG9B  64 64 30 #DRUBAPL 1 0 96  256
FG9C  64 64 30 #DRUBAPL 1 0 98  256
FG9D  64 64 30 #DRUBAPL 1 0 100  256
FG10   64 64 30 #DRUBAPL 1 0 102  256
FG10A  64 64 30 #DRUBAPL 1 0 104  256
FG10B  64 64 30 #DRUBAPL 1 0 106  256
FG10C  64 64 30 #DRUBAPL 1 0 108  256
FG10D  64 64 30 #DRUBAPL 1 0 100  256
FG11   64 64 30 #DRUBAPL 1 0 112  256
FG11A  64 64 30 #DRUBAPL 1 0 114  256
FG11B  64 64 30 #DRUBAPL 1 0 116  256
FG11C  64 64 30 #DRUBAPL 1 0 118  256
FG11D  64 64 30 #DRUBAPL 1 0 120  256
FG12   64 64 30 #DRUBAPL 1 0 122  256
FG12A  64 64 30 #DRUBAPL 1 0 124  256
FG12B  64 64 30 #DRUBAPL 1 0 126  256
FG12C  64 64 30 #DRUBAPL 1 0 128  256
FG12D  64 64 30 #DRUBAPL 1 0 130  256
FG13   64 64 30 #DRUBAPL 1 0 132  256
FG13A  64 64 30 #DRUBAPL 1 0 134  256
FG13B  64 64 30 #DRUBAPL 1 0 136  256
FG13C  64 64 30 #DRUBAPL 1 0 138  256
FG13D  64 64 30 #DRUBAPL 1 0 140  256
FG14   64 64 30 #DRUBAPL 1 0 142  256
FG14A  64 64 30 #DRUBAPL 1 0 144  256
FG14B  64 64 30 #DRUBAPL 1 0 146  256
FG14C  64 64 30 #DRUBAPL 1 0 148  256
FG14D  64 64 30 #DRUBAPL 1 0 150  256
FG15   64 64 30 #DRUBAPL 1 0 152  256
FG15A  64 64 30 #DRUBAPL 1 0 154  256
FG15B  64 64 30 #DRUBAPL 1 0 156  256
FG15C  64 64 30 #DRUBAPL 1 0 158  256
FG15D  64 64 30 #DRUBAPL 1 0 160  256
FG16   64 64 30 #DRUBAPL 1 0 162  256
FG16A  64 64 30 #DRUBAPL 1 0 164  256
FG16B  64 64 30 #DRUBAPL 1 0 166  256
FG16C  64 64 30 #DRUBAPL 1 0 168  256
FG16D  64 64 30 #DRUBAPL 1 0 170  256
FG17 64 64 30 #DRUBAPL 1 0 180 256
FG18 64 64 30 #DRUBAPL 1 0 190 256
FG19 64 64 30 #DRUBAPL 1 0 200 256
FG20 64 64 30 #DRUBAPL 1 0 210 256
FG21 64 64 30 #DRUBAPL 1 0 220 256
FG22 64 64 30 #DRUBAPL 1 0 230 256
FG23 64 64 30 #DRUBAPL 1 0 240 256
FG24 64 64 30 #DRUBAPL 1 0 255 256
FW0  64 64 30 #DRUBAPL 1 0 255 230
