\\QUEST
#QuestItemsBug.NAME Bug
#QuestItemsBug Bug
#QuestItemsOrb.NAME Eye of Hartualon
#QuestItemsOrb Eye of Hartualon
#QuestItemsFlask.NAME Flask with water
#QuestItemsFlask Flask with water
#QuestItemsVint.NAME Screw
#QuestItemsVint Screw
#QuestItemsKey.NAME Key
#QuestItemsKey Key
#Key1.NAME Key
#Key1 Key
#Key2.NAME Key
#Key2 Key
#QuestItemsEgg.NAME Dragon egg
#QuestItemsEgg Dragon egg
#Key3.NAME Key
#Key3 Key
#Pearl1.NAME Gem of mechanics
#Pearl1 Gem of mechanics
#Pearl2.NAME Gem of coldness
#Pearl2 Gem of coldness
#Pearl3.NAME Gem of Sun
#Pearl3 Gem of Sun
#Pearl4.NAME Gem of death
#Pearl4 Gem of death

\\Headwear (8)

#Helm1.NAME Hunter's hat
#Helm1 Used in the creation of:
#Helm2.NAME Steel helmet
#Helm2 Used in the creation of: Eagle helmet 
#Helm3.NAME Orc's helmet
#Helm3 Used in the creation of: Dragon's helmet
#Helm4.NAME Eagle helmet
#Helm4 Used in the creation of:
#Helm5.NAME Snake's hoop
#Helm5 Used in the creation of: Crown of Lament
#Helm6.NAME Dragon's helmet
#Helm6 Used in the creation of:
#Helm7.NAME Crown of Lament
#Helm7 Used in the creation of:
#Helm8.NAME Mask of Death
#Helm8 Vampirism: 25% of the damage done by the hero is added to his health.\Wearing a mask every second disables health regeneration for 30 seconds.

\\ Armor(8)

#Armor1.NAME Leather jacket
#Armor1 Used in the creation of: Living armor
#Armor2.NAME Chain mail
#Armor2 Used in the creation of: Elven chain mail
#Armor3.NAME Druid's toga
#Armor3 Used in the creation of: Sorcerer's robe
#Armor4.NAME Elven chain mail
#Armor4 Used in the creation of: Bjorn's full armor
#Armor5.NAME Sorcerer's robe
#Armor5 Used in the creation of: 
#Armor6.NAME Bjorn's full armor
#Armor6 Used in the creation of: 
#Armor7.NAME Living armor
#Armor7 Used in the creation of: 
#Armor8.NAME Midnight Cuirass
#Armor8 40% of the damage received by the hero in melee is also dealt to the attacker.

\\ Belts(8)

#Belt1.NAME Leather belt
#Belt1 Used in the creation of: Black legion belt
#Belt2.NAME Bone belt
#Belt2 Used in the creation of: Belt of Crystal Lake
#Belt3.NAME Ranger's belt
#Belt3 Used in the creation of: Snake's belt
#Belt4.NAME Black legion belt
#Belt4 Used in the creation of:
#Belt5.NAME Belt of endurance
#Belt5 Used in the creation of:
#Belt6.NAME Snake's belt
#Belt6 Used in the creation of:
#Belt7.NAME Belt of Crystal Lake
#Belt7 Used in the creation of:
#Belt8.NAME Giant Lord's Belt
#Belt8 Increases maximum health from all sources by 20%.

\\ Coats(8)

#Cloak1.NAME Apprentice's cloak
#Cloak1 Used in the creation of: Necromancer's cloak, Cloak of invisibility
#Cloak2.NAME Forester's Cloak
#Cloak2 Used in the creation of: Life Champion's cloak
#Cloak3.NAME Scout's cloak
#Cloak3 Used in the creation of:
#Cloak4.NAME Necromancer's cloak
#Cloak4 Used in the creation of: Cloak of great rains
#Cloak5.NAME Life Champion's cloak
#Cloak5 Used in the creation of:
#Cloak6.NAME Cloak of great rains
#Cloak6 CUsed in the creation of:
#Cloak7.NAME Ancient cloak
#Cloak7 The "Magic Protection +300%" option only affects basic protection.
#Cloak8.NAME Cloak of invisibility
#Cloak8 Gives a permanent invisibility effect. The Anti-Magic spell dispels invisibility.

\\ Gloves(8)

#Gloves1.NAME Leather gloves
#Gloves1 Used in the creation of: Gloves of bear's might
#Gloves2.NAME Archer's gloves
#Gloves2 Used in the creation of: Dragon gloves, Spider's gloves
#Gloves3.NAME Armored gloves
#Gloves3 Used in the creation of: Alchemist's gloves, Hammerer's gauntlets
#Gloves4.NAME Gloves of bear's might
#Gloves4 Used in the creation of: Hammerer's gauntlets
#Gloves5.NAME Alchemist's gloves
#Gloves5 Used in the creation of: Spider's gloves
#Gloves6.NAME Hammerer's gauntlets
#Gloves6 Used in the creation of:
#Gloves7.NAME Spider's gloves
#Gloves7 Units that died within 650 radius of the hero, with a chance of 10% turn into cave spiders, large units always turn into large cave spiders. Life duration of the spiders is 5 minutes. Units attacked by large spiders turns into cave spiders after death.
#Gloves8.NAME Dragon gloves
#Gloves8 Used in the creation of:

\\ Footwear(8)

#Boots1.NAME Wanderer's boots
#Boots1 Used in the creation of: Cheetah skin shoes
#Boots2.NAME Heavy boots 
#Boots2 Used in the creation of: Dragon's shoes
#Boots3.NAME Orc's boots
#Boots3 Used in the creation of: Druid's shoes
#Boots4.NAME Cheetah skin shoes
#Boots4 Used in the creation of:
#Boots5.NAME Druid's shoes
#Boots5 Used in the creation of: Irneate sandals
#Boots5a.NAME Warrior's Boots
#Boots5a 700, 10% to move speed, 0/4/4/4 -2 to mana regeneration
#Boots6.NAME Dragon's shoes
#Boots6 Used in the creation of:
#Boots8.NAME Irneate sandals
#Boots8 The "Spell Power +10%" option increases the Spell power gain from all worn items and level
#Boots7.NAME Boots of the Mystical Forest
#Boots7 Boots of the Mystical Forest
#Boots8a.NAME Irneate High Sandals
#Boots8a +30% to spell power
#Boots7a.NAME Boots of Sharp Waves ONLY 40 stats, the rest is armor 0/6/5/5 and 60 to move speed 
#Boots7a Mana regeneration , mana, -100% to the cost of spells. Spell power
#Boots7b.NAME Boots of Enchanted Winds
#Boots7b +20% to the running speed (total +80%)
#Boots7c.NAME Boots of Solid Rock 
#Boots7c Armor
#Boots7d.NAME Boots of Hell Fires
#Boots7d Damage

\\ Medallions(8)
#Medalion0.NAME A bag of jewelry
#Medalion0 The merchants will pay you handsomely for it
#Medalion1.NAME Pearl Necklace
#Medalion1 Pearl Necklace
#Medalion2.NAME Protective amulet
#Medalion2 Protective amulet
#Medalion3.NAME Bear's fang
#Medalion3 Bear's fang
#Medalion3a.NAME Mascot
#Medalion3a 400, 10% to move speed, 0/2/1/1 --------------------------------------------------------

#Medalion4.NAME Leprechaun's medallion
#Medalion4 Leprechaun's medallion
#Medalion5.NAME Crystal of knowledge
#Medalion5 Crystal of knowledge

#Medalion6.NAME  The Star
#Medalion6 Percentage increase works from items. Used in the creation of: Precision Star
#Medalion6a.NAME Silver Star----------------------------------------------------------
#Medalion6a Gives protection from magic
#Medalion6b.NAME The star of the tailwind
#Medalion6b +20% to attack speed
#Medalion6c.NAME Marksmanship star (Non Drop)
#Medalion6c Percentage increase works from items. Opponents within a radius of 1200 cannot dodge, and you and your allies cannot miss.
#Medalion6d.NAME The Headwind Star
#Medalion6d +20% to attack speed for enemies
#Medalion7.NAME Sorcerer's talisman
#Medalion7 Sorcerer's talisman

#Medalion8.NAME Dragon's eye
#Medalion8 Reveals the invisibility of enemies within a radius of 1000.

#Medalion9.NAME Amulet of Weakening (Non Drop)
#Medalion9 Enemies damage with pure damage type is reduced by 50% (Radius 1200)

\\ Bracelet(16) 200 400 1200 3200

#Bracelet1.NAME Leather bracer
#Bracelet1 Used in the creation of:
#Bracelet2.NAME Shaman's bracer
#Bracelet2 Used in the creation of: Sorcerer's bracelet
#Bracelet3.NAME Centaur's bracer
#Bracelet3 Used in the creation of:
#Bracelet4.NAME Enhanced bracelet
