#DruidsHope Путь лесного народа
INTF_CAMPAIGN_W0 Выберите кампанию
#GameOver_BackToCampMenu_Hint Выйти в меню кампании
#GameOver_NextMiss_Hint Запустить следующую миссию
#MISSIONSTART Атака Нежити (видео)
#MISSION01 Город Зари
#MISSION02 Окресности Твердокамня
#MISSION03 Проклятое кладбище
#MISSION04 Вечнозеленая Роща
#MISSION05 Озеро Пегасов
#MISSION06 В поисках ресурсов
#MISSION07 Оборона лагеря
#MISSION07+ Путь к Горе Мира
#MISSION08 Оракул
#MISSION09 В поисках Короны
#MISSION10 Мудрый Драэлнор
#MISSION11 Страна Механиков
#MISSION12 Три пути к Городу Стуж
#MISSION13 Шамбала
#MISSION14 Универсал
#MISSION15 Великий Ритуал
#MISSIONFINAL Катастрофа (видео)
#Elhant Эльхант
#Draelnor Драэлнор
#Lana Лана
#Lich АрхиЛич
#Nekros Некрос
#Warlord Монфор
#M1Alchemist Алхимик
#M1Ent Старый Ясень
#M1Archer Лучник
#M1Soldier Солдат
#M2Druid Друид
#M2Hunter Охотник
#M2Forester Старый лесник
#M2Soldier Солдат
#M2Commander1 Командир отряда
#M2Commander2 Командир отряда
#M2Commander3 Командир отряда
#M2Dweller Житель
#M2Centaur Кентавр
#M3Goblin Гоблин
#M4DruidKey Хранитель ключа
#M4High_Druid Тонмир
#M4DruidControl Друид
#M4Ent Страж ворот
#M4DruidAcid Друид
#M4ShopKeeper Торговец
#M5Fairy Фея
#M5High_Druid Верховный Друид
#M5Druid1 Друид-помощник
#M5Druid2 Маг-торговец
#M5Elder Эльф
#M6Elder1 Старейшина
#M6Elder2 Старейшина
#M6Elder3 Старейшина
#M6Elder4 Старейшина
#M6Fairy Фея
#M6Druid Друид
#M6MageShopkeeper Торговец
#M6Dwarf Гном
#M6Elf1 Эльф
#M6Elf2 Эльф
#M6Ent Древочеловек
#M6Soldier Солдат
#M7Centaur1 Кентавр
#M7Centaur2 Кентавр
#M7plusFairy Фея
#M7plusSoldier Солдат
#M7plusCentaur Кентавр
#M7plusDryad Дриада
#M7plusDruid Друид
#M8Elf Охранник парома
#M8Elder Защитник поселка
#M8Druid Друид
#M8Dryad Дриада
#M9Dwarf1 Гном посланец
#M9Dwarf2 Гном шахтер
#M9Dwarf3 Гном
#M9DwarfChief Гном старейшина
#M10Dwarf1 Гном
#M10Dwarf2 Гном
#M10Children Ребенок
#M10Elf Солдат
#M10Elder Друид
#Elder2 Друид
#M11DwarfSoldier1 Гном воин
#M11DwarfSoldier2 Гном воин
#M11DwarfSoldier3 Гном воин
#M11Dwarf1 Гном механик
#M11Dwarf2 Матрос механик
#M11DwarfCaptain Гном капитан
#M11Artificial Мастер
#M11DwarfKing Правитель гномов
#M12IceMage1 Маг криалец
#M12DeathMage Чернокнижник
#M12IceGolem Ледяной голем
#M12YetiChief Вождь йети
#M12Enchantress Чародейка
#M12IceMage2 Заклинатель
#M12Gremlin Гремлин
#M13Cleric Жрец
#M13Priest Священник
#M13Priest2 Священник
#M13TorGilong Тор Гилонг
#M13Slave Раб
#M13Mechanic Гном
#M14MainPriest Верховный жрец
#M14SolSoldier Страж солов
