NRES.DAT: Invalid sound for ALARM
NRES.DAT:Unknown sound SEA for SEA
NRES.DAT:Unknown sound FIELD for FIELD
NRES.DAT-:Unknown sound FIELD for FOREST
Weapon.ads,line 187 :SOUND: Unknown sound:FIRE1
Could not find special animation:#SHAR
Could not find special animation:#SHARBUILD
(UNITS)\CUSTOM\TD\TDGOBUGOB,line 65 :SOUND: Unknown sound:move_goblins
(UNITS)\CUSTOM\TD\TDSOLHARC,line 80 :SOUND: Unknown sound:SolHeroPriShot
(UNITS)\CUSTOM\TD\TDSOLHARC,line 85 :SOUND: Unknown sound:SolHeroPriCast1
(UNITS)\CUSTOM\TD\TDSOLHARC,line 85 :SOUND: Unknown sound:SolHeroPriCast2
(UNITS)\CUSTOM\TD\TDSOLHARC,line 85 :SOUND: Unknown sound:SolHeroPriDed
(UNITS)\CUSTOM\TD\TDSOLHGLA,line 18 :SOUND: Unknown sound:SolHeroCmBuh
(UNITS)\CUSTOM\TD\TDSOLHGLA,line 20 :SOUND2: Unknown sound:SolHeroCmOret
(UNITS)\CUSTOM\TD\TDSOLHGLA,line 22 :SOUND: Unknown sound:SolHeroCmVjuh
(UNITS)\CUSTOM\TD\TDSOLHGLA,line 25 :SOUND: Unknown sound:SolHeroCmBuh
(UNITS)\CUSTOM\TD\TDSOLHGLA,line 27 :SOUND2: Unknown sound:SolHeroCmOret
(UNITS)\CUSTOM\TD\TDSOLHGLA,line 29 :SOUND: Unknown sound:SolHeroCmVjuh
(UNITS)\CUSTOM\TD\TDSOLHGLA,line 89 :SOUND: Unknown sound:steps_big_1
(UNITS)\CUSTOM\TD\TDSOLHGLA,line 93 :SOUND: Unknown sound:SolHeroCmCast
(UNITS)\CUSTOM\TD\TDSOLHGLA,line 93 :SOUND: Unknown sound:SolHeroCmCast
(UNITS)\CUSTOM\TD\TDSOLHGLA,line 93 :SOUND: Unknown sound:SolHeroCmDed
(UNITS)\GOBUGOB,line 65 :SOUND: Unknown sound:move_goblins
(UNITS)\SOLHANU,line 12 :SOUND: Unknown sound:steps_big_1
(UNITS)\SOLHANU,line 26 :SOUND: Unknown sound:VzmahNah
(UNITS)\SOLHANU,line 33 :SOUND: Unknown sound:SolHeroAnuDed
(UNITS)\SOLHANU,line 93 :SOUND: Unknown sound:steps_big_1
(UNITS)\SOLHANU,line 94 :SOUND: Unknown sound:SolHeroAnuCast2
(UNITS)\SOLHANU,line 94 :SOUND: Unknown sound:SolHeroAnuCast2
(UNITS)\SOLHANU,line 96 :SOUND2: Unknown sound:SolHero1Oret
(UNITS)\SOLHARC,line 81 :SOUND: Unknown sound:SolHeroPriShot
(UNITS)\SOLHARC,line 86 :SOUND: Unknown sound:SolHeroPriCast1
(UNITS)\SOLHARC,line 86 :SOUND: Unknown sound:SolHeroPriCast2
(UNITS)\SOLHARC,line 86 :SOUND: Unknown sound:SolHeroPriDed
(UNITS)\SOLHARCF,line 84 :SOUND: Unknown sound:SolHeroPriShot
(UNITS)\SOLHARCF,line 89 :SOUND: Unknown sound:SolHeroPriCast1
(UNITS)\SOLHARCF,line 89 :SOUND: Unknown sound:SolHeroPriCast2
(UNITS)\SOLHARCF,line 89 :SOUND: Unknown sound:SolHeroPriDed
(UNITS)\SOLHARCSS,line 76 :SOUND: Unknown sound:SolHeroPriShot
(UNITS)\SOLHARCSS,line 81 :SOUND: Unknown sound:SolHeroPriCast1
(UNITS)\SOLHARCSS,line 81 :SOUND: Unknown sound:SolHeroPriCast2
(UNITS)\SOLHARCSS,line 81 :SOUND: Unknown sound:SolHeroPriDed
(UNITS)\SOLHGLA,line 18 :SOUND: Unknown sound:SolHeroCmBuh
(UNITS)\SOLHGLA,line 20 :SOUND2: Unknown sound:SolHeroCmOret
(UNITS)\SOLHGLA,line 22 :SOUND: Unknown sound:SolHeroCmVjuh
(UNITS)\SOLHGLA,line 25 :SOUND: Unknown sound:SolHeroCmBuh
(UNITS)\SOLHGLA,line 27 :SOUND2: Unknown sound:SolHeroCmOret
(UNITS)\SOLHGLA,line 29 :SOUND: Unknown sound:SolHeroCmVjuh
(UNITS)\SOLHGLA,line 89 :SOUND: Unknown sound:steps_big_1
